accession	number_samples	species	abstract	rse_gene	rse_exon	counts_gene	counts_exon	phenotype	genes	exons	files_info
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037735">SRP037735</a>	2	human	Alternative polyadenylation is an important cellular mechanism that enables generation of  mRNA isoforms that differ in their 3' untranslated regions (3' UTRs) and consequently in their susceptibility to miRNA and RNA binding protein mediated regulation. A dramatic change in polyadenylation site usage, leading to the systematic expression of short 3’ UTR isoforms is known to occur upon induction of proliferation in resting cells. To understand the functional consequences of short 3’ UTR isoform expression we used 3' end sequencing and quantitative mass spectroscopy to determine polyadenylation site use, mRNA and protein levels in murine and human naive and activated T cells. We found that while the process and its impact on the susceptibility to miRNA and RNA binding protein mediated regulation are evolutionarily conserved, the conservation is poor at the level of individual orthologous genes. Contrary to the common belief, we did not find that transcriptome-wide 3' UTR shortening leads to a matched increase in mRNA and protein levels of genes with tandem polyadenylation sites. Overall design: 3' ends of transcripts were profiled by high-throughput sequencing in murine and human naive and activated T cells.	<a href="http://duffel.rail.bio/recount/SRP037735/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037735/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037735/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037735/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037735/SRP037735.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037735/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037762">SRP037762</a>	6	human	Long non-coding RNAs (lncRNAs) have emerged as critical regulators of gene expression and chromatin modifications, with important functions in development and disease. Here we sought to identify and functionally characterize lncRNAs critical for vascular vertebrate development with significant conservation across species. Genome-wide transcriptomic analyses during human vascular lineage specification enabled the identification of three conserved novel lncRNAs: TERMINATOR, ALIEN and PUNISHER that are specifically expressed in pluripotent stem cells, mesoderm and endothelial cells, respectively. Gene expression profiling, alongside RNA immunoprecipitation coupled to mass spectrometry, revealed a wide range of new molecular networks and protein interactors related to post-transcriptional modifications for all three lncRNAs. Functional experiments in zebrafish and murine embryos, as well as differentiating human cells, confirmed a developmental-stage specific role for each lncRNA during vertebrate development. The identification and functional characterization of these three novel non-coding provide a comprehensive transcriptomic roadmap and shed new light on the molecular mechanisms underlying human vascular development. Overall design: Time course RNA-Seq analysis H1 ESCs differentiated into endothelial cells	<a href="http://duffel.rail.bio/recount/SRP037762/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037762/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037762/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037762/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037762/SRP037762.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037762/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037775">SRP037775</a>	63	human	The intention was to detect genes that are determining trastuzumab efficiency in HER2-positive breast cancer cell lines with different resistance phenotypes. While BT474 should be sensitive to the drug treatment, HCC1954 is expected to be resistant due to a PI3K mutation. The cell line BTR50 has been derived from BT474 and was cultured to be resistant as well. Based on RNA-Seq data, we performed differential expression analyses on these breast cancer cell lines with and without trastuzumab treatment. In detail, five separate tests were performed, namely resistant cells vs. wild type, i.e. HCC1954 and BTR50 vs. BT474, respectively, and untreated vs. drug treated cells. The significant genes of the first two tests should contribute to resistance. The significant genes of the test BT474 vs. its drug treated version should contribute to the trastuzumab effect. To exclude false positives from the combined gene set (#64), we removed ten genes that were also significant in the test BTR50 vs. its drug treated version. This way we ended up with 54 genes that are very likely to determine trastuzumab efficiency in HER2-positive breast cancer cell lines. Overall design: mRNA profiles of human breast cancer cell lines were generated by deep sequencing using Illumina HiSeq 2000. The cell lines BT474 and HCC1954 were analyzed with and without trastuzumab treatment. HCC1954 is known to be trastuzumab resistant. Additionally, the cell line BTR50 was generated as resistant version of BT474, and was analyzed with and without trastuzumab as well.	<a href="http://duffel.rail.bio/recount/SRP037775/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037775/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037775/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037775/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037775/SRP037775.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037775/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037778">SRP037778</a>	46	human	Summary: Purpose: To profile the transcriptomes of omental adipose tissues from obese and lean humans. Methods: Omental adipose tissues from obese and lean patients were subjected to RNA-Seq. Results: Differential expression analysis identified 206 dysregulated genes (p-value < 0.05 by moderated t-test and fold change = 2 in obesity) that are known to be involved in a multitude of functions, including response to stress, inflammatory response and leukocyte adhesion. Differential splicing analysis uncovered the possible role of TLR4 RNA splicing in obesity. Our findings suggest that, as a person experiences weight gain/obesity, the adipose splicing pattern of TLR4 transcripts changes in favor of activation of TLR4 signaling, which in turn may contribute to the progression of obesity-related inflammation and complications. Conclusion:  This study provides a look into the transcriptome of disease-state adipose tissue in obesity, and demonstrates the potential importance of aberrant RNA splicing and expression in obesity-associated immune dysregulation. Overall Design: Study design is of cross-sectional nature. Seven samples (three obese and four lean) were analyzed.	<a href="http://duffel.rail.bio/recount/SRP037778/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037778/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037778/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037778/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037778/SRP037778.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037778/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037971">SRP037971</a>	1	human	We show that in vivo MBD2 is mainly recruited to CpG island promoters that are highly methylated. We also report that MBD2 binds to a subset of CpG island promoters that are characterized by the presence of active histone marks and RNA polymerase II (Pol2). At such sites, MBD2 binds downstream of the transcription start site. Active promoters bound by MBD2 show low to medium gene expression levels and H3K36me3 deposition suggesting a putative role for MBD2 in blocking polymerase II (Pol2) elongation at these promoters. Overall design: To gain further insight into the function of and epigenetic regulation by MBD2 we generated a tagged version of the protein and stably expressed it in the MCF-7 cell line. We mapped genome wide binding of MBD2 by ChIP sequencing (ChIP-seq) and together with base resolution whole genome bisulfite sequencing (WGBS) we were able to determine the methylation content and the role of methylation density at MBD2 enriched regions. We further dissected MBD2 binding properties, taking advantage of a large set of ChIP-seq data including active histone marks, RNA polymerase II (POL2) and strand specific RNA-seq.	<a href="http://duffel.rail.bio/recount/SRP037971/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037971/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037971/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037971/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037971/SRP037971.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037971/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP037982">SRP037982</a>	8	human	we report transcritomic characterization of changes in CTNNB1 mutation positive HCCs in comparison to paratumoral tissues Overall design: 4 pair of HCC and paratumoral liver tissues are sequenced and compared	<a href="http://duffel.rail.bio/recount/SRP037982/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037982/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037982/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037982/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP037982/SRP037982.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP037982/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038006">SRP038006</a>	8	human	Domain analysis of NKX2-2's role in the regulation of transcription in Ewing sarcoma.	<a href="http://duffel.rail.bio/recount/SRP038006/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038006/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038006/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038006/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038006/SRP038006.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038006/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038101">SRP038101</a>	6	human	AML3 cells were treated with Azacytidine and compared against untreated cells Overall design: We used RNA-Seq to detail the global programme of gene expression in human untreated and Azacytidine treated AML3 cells	<a href="http://duffel.rail.bio/recount/SRP038101/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038101/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038101/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038101/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038101/SRP038101.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038101/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038143">SRP038143</a>	3	human	Whole transcriptome sequencing for three common pancreatic cancer cell lines.	<a href="http://duffel.rail.bio/recount/SRP038143/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038143/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038143/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038143/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038143/SRP038143.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038143/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038695">SRP038695</a>	12	human	Eukaryotic cells rapidly reduce protein synthesis in response to various stress conditions. This can be achieved by the phosphorylation-mediated inactivation of a key translation initiation factor, eIF2. However, the persistent translation of certain mRNAs is required for deployment of an adequate stress response. We carried out ribosome profiling of cultured human cells under conditions of severe stress induced with sodium arsenite. Although this led to a ~4.5-fold general translational repression, the protein coding ORFs of certain individual mRNAs exhibited resistance to the inhibition. Nearly all resistant transcripts possess at least one efficiently translated uORF that repress translation of the main coding ORF under normal conditions. Site specific mutagenesis of two identified stress resistant mRNAs (PPP1R15B and IFRD1) demonstrated that a single uORF is sufficient for eIF2-mediated translation control in both cases. Phylogenetic analysis suggests that at least two regulatory uORFs (namely in SLC35A4 and MIEF1) encode functional protein products. Overall design: Ribosome profiling of sodium arsenite treated cells for examination of translational response to induction of eIF2 phosphoylation	<a href="http://duffel.rail.bio/recount/SRP038695/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038695/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038695/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038695/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038695/SRP038695.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038695/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038702">SRP038702</a>	4	human	To identify QKI targets, we performed QKI knockdown in BEAS2B cells and analyzed alternative splicing patterns by high-throughput RNA sequencing. Overall design: The mRNA profiles of control- and QKI-knockdown BEAS2B cells were generated by deep sequencing using Illumina GAIIx sequencer.	<a href="http://duffel.rail.bio/recount/SRP038702/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038702/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038702/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038702/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038702/SRP038702.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038702/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038726">SRP038726</a>	9	human	The detachment of epithelial cells, but not cancer cells, causes anoikis due to reduced energy production. Invasive tumor cells generate three splice variants of the metastasis gene osteopontin. The cancer-specific form osteopontin-c supports anchorage-independence through inducing oxidoreductases and upregulating intermediates/enzymes in the hexose monophosphate shunt, glutathione cycle, glycolysis, glycerol phosphate shuttle, and mitochondrial respiratory chain. Osteopontin-c signaling upregulates glutathione (consistent with the induction of the enzyme GPX-4), glutamine and glutamate (which can feed into the tricarboxylic acid cycle). Consecutively, the cellular ATP levels are elevated. The elevated creatine may be synthesized from serine via glycine and also supports the energy metabolism by increasing the formation of ATP. Metabolic probing with N-acetyl-L-cysteine, L-glutamate, or glycerol identified differentially regulated pathway components, with mitochondrial activity being redox dependent and the creatine pathway depending on glutamine. The effects are consistent with a stimulation of the energy metabolism that supports anti-anoikis. Our findings imply a synergism in cancer cells between osteopontin-a, which increases the cellular glucose levels, and osteopontin-c, which utilizes this glucose to generate energy. Overall design: mRNA profiles of MCF-7 cells transfected with  osteopontin-a, osteopontin-c and vector control were generated by RNA-Seq, in triplicate, by Illumina HiSeq.	<a href="http://duffel.rail.bio/recount/SRP038726/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038726/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038726/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038726/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038726/SRP038726.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038726/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038759">SRP038759</a>	4	human	We have used RNA-seq to examine gene expression from paired human CRC/control mucosa samples and identified CRC-specific expressed long noncoding RNAs Overall design: To identify CRC-specific expressed genes, including long noncoding RNAs	<a href="http://duffel.rail.bio/recount/SRP038759/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038759/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038759/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038759/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038759/SRP038759.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038759/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038761">SRP038761</a>	3	human	Major- and minor-group rhinoviruses enter their host by binding to the cell surface molecules ICAM-1 and LDL-R, respectively, which are present on both macrophages and epithelial cells. Although epithelial cells are the primary site of productive HRV infection, previous studies have implicated macrophages in establishing the cytokine dysregulation that occurs during rhinovirus-induced asthma exacerbations. Even though major- and minor-group rhinoviruses are nearly genetically identical, these viruses do not replicate with equal success in monocyte-lineage cell lines. In human primary macrophages, differential mitochondrial activity and signaling pathway activation was observed between major- and minor-group rhinovirus upon initial HRV binding, indicating discordant receptor-dependent response to these rhinovirus types. As well, variances in phosphorylation of kinases (p38, JNK, ERK5) and transcription factors (ATF-2, CREB, CEBP-alpha) were observed between the major- and minor- group HRV treatments. The difference between major- and minor- group HRV activation of signaling pathways was confirmed through RNA-sequencing and observation of differential production of the asthma-relevant cytokines CCL20, CCL2, and IL-10. This is the first report of genetically similar viruses eliciting dissimilar cytokine release, transcription factor phosphorylation, and MAPK activation from macrophages. These results suggest that receptor dependence plays a role in establishing the inflammatory microenvironment initiated in part by monocytic-lineage cells in the human airway upon exposure to rhinovirus. Overall design: RNA sequencing of monocyte-derived macrophages after mock infection or infection by HRV16 or HRV1A	<a href="http://duffel.rail.bio/recount/SRP038761/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038761/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038761/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038761/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038761/SRP038761.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038761/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038767">SRP038767</a>	4	human	Summary: We report the derivation of 2 different methods of generating cardiac myocytes from human ESCs. The traditional route is via cardiac progenitor cells and the second, new approach is through re-directing hemogenic endothelium into the cardiac lineage using inhibition of Wnt/b-catenin signaling Overall Design: Examination of 2 different cardiac populations using RNA-seq	<a href="http://duffel.rail.bio/recount/SRP038767/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038767/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038767/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038767/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038767/SRP038767.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038767/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038863">SRP038863</a>	31	human	We report on explant osteoblast cultures from human patients, demonstrating that there are at least three sub-types of non-syndromic craniosynostosis defined by similarity of gene expression profiles. Overall design: Osteoblast growth in culture, 23 craniosynostosis skull samples (7 metopic; 8 coronal; 3 lambdoid; 5 sagittal) and 8 normal (4 cranial bones and 4 long bones)	<a href="http://duffel.rail.bio/recount/SRP038863/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038863/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038863/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038863/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038863/SRP038863.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038863/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038919">SRP038919</a>	6	human	Dicer is a deeply conserved endoribonuclease with key functions in small RNA biogenesis. Here we employed PAR-CLIP/iPAR-CLIP to identify direct Dicer binding sites in the transcriptomes of human cells and human. We found hundreds of novel miRNAs and non-canonical Dicer substrates with high sensitivity. Small RNA production depended on structure of the binding site and is globally biased towards the 5' arm of hairpins. Unexpectedly, in both species Dicer bound numerous hairpins inside mRNAs without observable small RNA production. Our data revealed ~100 mRNAs of protein coding genes to be targeted in both human and worm. These mRNAs significantly overlapped with the RNAi pathway. We also, unexpectedly, found that mitochondrial transcripts are Dicer targets in both species. We demonstrate functional consequences of Dicer binding by perturbation analysis. Taken together,we provide the first genome-wide catalog of direct Dicer targets. Our results suggest widespread function outside of miRNA biogenesis. Overall design: PAR-CLIP basically as described previously (Hafner et al. 2010).	<a href="http://duffel.rail.bio/recount/SRP038919/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038919/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038919/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038919/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038919/SRP038919.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038919/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038921">SRP038921</a>	3	human	Dicer is a deeply conserved endoribonuclease with key functions in small RNA biogenesis. Here we employed PAR-CLIP/iPAR-CLIP to identify direct Dicer binding sites in the transcriptomes of human cells and human. We found hundreds of novel miRNAs and non-canonical Dicer substrates with high sensitivity. Small RNA production depended on structure of the binding site and is globally biased towards the 5' arm of hairpins. Unexpectedly, in both species Dicer bound numerous hairpins inside mRNAs without observable small RNA production. Our data revealed ~100 mRNAs of protein coding genes to be targeted in both human and worm. These mRNAs significantly overlapped with the RNAi pathway. We also, unexpectedly, found that mitochondrial transcripts are Dicer targets in both species. We demonstrate functional consequences of Dicer binding by perturbation analysis. Taken together,we provide the first genome-wide catalog of direct Dicer targets. Our results suggest widespread function outside of miRNA biogenesis. Overall design: Regulatory impact of Dicer binding was assessed by knock down experiments in human HEK293 cells. Drosha knockdown and mock transfections were used as controls. In total 3 samples.	<a href="http://duffel.rail.bio/recount/SRP038921/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038921/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038921/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038921/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038921/SRP038921.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038921/files_info.tsv">link</a>
<a href="http://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP038925">SRP038925</a>	2	human	Dicer is a deeply conserved endoribonuclease with key functions in small RNA biogenesis. Here we employed PAR-CLIP/iPAR-CLIP to identify direct Dicer binding sites in the transcriptomes of human cells and human. We found hundreds of novel miRNAs and non-canonical Dicer substrates with high sensitivity. Small RNA production depended on structure of the binding site and is globally biased towards the 5' arm of hairpins. Unexpectedly, in both species Dicer bound numerous hairpins inside mRNAs without observable small RNA production. Our data revealed ~100 mRNAs of protein coding genes to be targeted in both human and worm. These mRNAs significantly overlapped with the RNAi pathway. We also, unexpectedly, found that mitochondrial transcripts are Dicer targets in both species. We demonstrate functional consequences of Dicer binding by perturbation analysis. Taken together,we provide the first genome-wide catalog of direct Dicer targets. Our results suggest widespread function outside of miRNA biogenesis. Overall design: Argonaute loaded small RNAs were extracted from FLAG:AGO2 and FLAG:AGO3 expressing HEK293 cells. Small RNA was purified and length selected (see supplementary methods).	<a href="http://duffel.rail.bio/recount/SRP038925/rse_gene.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038925/rse_exon.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038925/counts_gene.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038925/counts_exon.tsv.gz">link</a>	<a href="http://duffel.rail.bio/recount/SRP038925/SRP038925.tsv">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-genes-bp-length.Rdata">link</a>	<a href="https://lcolladotor.shinyapps.io/recount/ucsc-knowngene-hg38-exons.Rdata">link</a>	<a href="http://duffel.rail.bio/recount/SRP038925/files_info.tsv">link</a>
